Advanced Calibration Data
,Temperature,date,m,b,Thermistor,A,B,C,KOhm,min,max
,,,1,0,4,0.0014035971835255623,0.00023726772633381188,9.962900548998732e-8,3,-20,60
,Pressure,date,m2,m1,m0,b2,b1,b0,LinearA,LinearB
,,24-Aug-2020 09:27:45,4.67599988951406e-7,0.00003301670221844688,1.010563850402832,0.00015278111095540226,-0.007007943466305733,-0.0350460559129715,-0.000008718800017959438,1.0026094913482666

Field Calibration Data
,Temperature,date,Slope,Offset,Unit
,,,1,0,0
,Pressure,date,Slope,Offset,Unit
,,,1,0,0

Sensor/File information
Sensor SN,0012202845,,Modbus Addr.,2
Sensor Type,LevelSCOUT,,Initialized w/fw Rev,v2.4
Sensor Name,Seametrics Smart Sensor
File Name,Test File #4

# Records,1441
Statistical Data,,Temperature (°C),Pressure (psi)
,Sensor Range,,300 psia
,Minimum,17.70,14.543
,Maximum,24.01,19.560
,Mean,19.45,16.432
,Variance,2.468,5.3631
,Std Deviation,1.571,2.3158

Rec #,Date / Time,Temperature (°C),Pressure (psi)
230,05-May-2021 13:04:00,17.78,19.539
231,05-May-2021 13:05:00,17.78,19.549
232,05-May-2021 13:06:00,17.78,19.549
233,05-May-2021 13:07:00,17.78,19.539
234,05-May-2021 13:08:00,17.78,19.539
235,05-May-2021 13:09:00,17.78,19.539
236,05-May-2021 13:10:00,17.78,19.549
237,05-May-2021 13:11:00,17.79,19.549
238,05-May-2021 13:12:00,17.79,19.549
239,05-May-2021 13:13:00,17.79,19.539
240,05-May-2021 13:14:00,17.79,19.539
241,05-May-2021 13:15:00,17.79,19.539
242,05-May-2021 13:16:00,17.79,19.539
243,05-May-2021 13:17:00,17.78,19.549
244,05-May-2021 13:18:00,17.77,19.549
245,05-May-2021 13:19:00,17.76,19.539
246,05-May-2021 13:20:00,17.75,19.549
247,05-May-2021 13:21:00,17.75,19.539
248,05-May-2021 13:22:00,17.74,19.539
249,05-May-2021 13:23:00,17.74,19.539
250,05-May-2021 13:24:00,17.74,19.549
251,05-May-2021 13:25:00,17.75,19.539
252,05-May-2021 13:26:00,17.76,19.539
253,05-May-2021 13:27:00,17.77,19.539
254,05-May-2021 13:28:00,17.78,19.549
255,05-May-2021 13:29:00,17.79,19.549
256,05-May-2021 13:30:00,17.81,19.539
257,05-May-2021 13:31:00,17.81,19.549
258,05-May-2021 13:32:00,17.81,19.549
259,05-May-2021 13:33:00,17.81,19.549
260,05-May-2021 13:34:00,17.80,19.539
261,05-May-2021 13:35:00,17.80,19.549
262,05-May-2021 13:36:00,17.78,19.549
263,05-May-2021 13:37:00,17.77,19.549
264,05-May-2021 13:38:00,17.76,19.549
265,05-May-2021 13:39:00,17.76,19.549
266,05-May-2021 13:40:00,17.77,19.539
267,05-May-2021 13:41:00,17.77,19.549
268,05-May-2021 13:42:00,17.77,19.539
269,05-May-2021 13:43:00,17.77,19.549
270,05-May-2021 13:44:00,17.76,19.539
271,05-May-2021 13:45:00,17.76,19.539
272,05-May-2021 13:46:00,17.76,19.549
273,05-May-2021 13:47:00,17.75,19.549
274,05-May-2021 13:48:00,17.74,19.539
275,05-May-2021 13:49:00,17.73,19.539
276,05-May-2021 13:50:00,17.72,19.539
277,05-May-2021 13:51:00,17.73,19.549
278,05-May-2021 13:52:00,17.73,19.539
279,05-May-2021 13:53:00,17.74,19.539
280,05-May-2021 13:54:00,17.75,19.539
281,05-May-2021 13:55:00,17.76,19.539
282,05-May-2021 13:56:00,17.77,19.549
283,05-May-2021 13:57:00,17.78,19.549
284,05-May-2021 13:58:00,17.78,19.539
285,05-May-2021 13:59:00,17.78,19.549
286,05-May-2021 14:00:00,17.77,19.539
287,05-May-2021 14:01:00,17.76,19.539
288,05-May-2021 14:02:00,17.76,19.549
289,05-May-2021 14:03:00,17.75,19.539
290,05-May-2021 14:04:00,17.76,19.539
291,05-May-2021 14:05:00,17.76,19.539
292,05-May-2021 14:06:00,17.78,19.549
293,05-May-2021 14:07:00,17.78,19.539
294,05-May-2021 14:08:00,17.78,19.549
295,05-May-2021 14:09:00,17.78,19.539
296,05-May-2021 14:10:00,17.77,19.549
297,05-May-2021 14:11:00,17.76,19.549
298,05-May-2021 14:12:00,17.76,19.539
299,05-May-2021 14:13:00,17.76,19.549
300,05-May-2021 14:14:00,17.77,19.539
301,05-May-2021 14:15:00,17.77,19.549
302,05-May-2021 14:16:00,17.77,19.549
303,05-May-2021 14:17:00,17.77,19.539
304,05-May-2021 14:18:00,17.78,19.539
305,05-May-2021 14:19:00,17.77,19.549
306,05-May-2021 14:20:00,17.76,19.549
307,05-May-2021 14:21:00,17.75,19.539
308,05-May-2021 14:22:00,17.74,19.539
309,05-May-2021 14:23:00,17.74,19.549
310,05-May-2021 14:24:00,17.74,19.549
311,05-May-2021 14:25:00,17.76,19.549
312,05-May-2021 14:26:00,17.78,19.539
313,05-May-2021 14:27:00,17.79,19.539
314,05-May-2021 14:28:00,17.79,19.549
315,05-May-2021 14:29:00,17.79,19.539
316,05-May-2021 14:30:00,17.79,19.539
317,05-May-2021 14:31:00,17.78,19.539
318,05-May-2021 14:32:00,17.79,19.549
319,05-May-2021 14:33:00,17.78,19.539
320,05-May-2021 14:34:00,17.78,19.549
321,05-May-2021 14:35:00,17.78,19.549
322,05-May-2021 14:36:00,17.78,19.539
323,05-May-2021 14:37:00,17.78,19.539
324,05-May-2021 14:38:00,17.78,19.549
325,05-May-2021 14:39:00,17.79,19.539
326,05-May-2021 14:40:00,17.79,19.539
327,05-May-2021 14:41:00,17.78,19.539
328,05-May-2021 14:42:00,17.77,19.539
329,05-May-2021 14:43:00,17.75,19.549
330,05-May-2021 14:44:00,17.74,19.549
331,05-May-2021 14:45:00,17.73,19.549
332,05-May-2021 14:46:00,17.74,19.539
333,05-May-2021 14:47:00,17.75,19.539
334,05-May-2021 14:48:00,17.76,19.549
335,05-May-2021 14:49:00,17.77,19.549
336,05-May-2021 14:50:00,17.77,19.539
337,05-May-2021 14:51:00,17.77,19.539
338,05-May-2021 14:52:00,17.77,19.549
339,05-May-2021 14:53:00,17.78,19.549
340,05-May-2021 14:54:00,17.78,19.539
341,05-May-2021 14:55:00,17.79,19.549
342,05-May-2021 14:56:00,17.79,19.549
343,05-May-2021 14:57:00,17.79,19.549
344,05-May-2021 14:58:00,17.79,19.549
345,05-May-2021 14:59:00,17.79,19.549
346,05-May-2021 15:00:00,17.78,19.549
347,05-May-2021 15:01:00,17.78,19.549
348,05-May-2021 15:02:00,17.78,19.549
349,05-May-2021 15:03:00,17.77,19.549
350,05-May-2021 15:04:00,17.77,19.549
351,05-May-2021 15:05:00,17.77,19.549
352,05-May-2021 15:06:00,17.76,19.549
353,05-May-2021 15:07:00,17.76,19.549
354,05-May-2021 15:08:00,17.77,19.549
355,05-May-2021 15:09:00,17.77,19.549
356,05-May-2021 15:10:00,17.77,19.539
357,05-May-2021 15:11:00,17.78,19.539
358,05-May-2021 15:12:00,17.78,19.539
359,05-May-2021 15:13:00,17.79,19.539
360,05-May-2021 15:14:00,17.79,19.549
361,05-May-2021 15:15:00,17.79,19.560
362,05-May-2021 15:16:00,17.78,19.549
363,05-May-2021 15:17:00,17.78,19.549
364,05-May-2021 15:18:00,17.78,19.549
365,05-May-2021 15:19:00,17.77,19.539
366,05-May-2021 15:20:00,17.76,19.549
367,05-May-2021 15:21:00,17.76,19.539
368,05-May-2021 15:22:00,17.75,19.539
369,05-May-2021 15:23:00,17.76,19.549
370,05-May-2021 15:24:00,17.76,19.549
371,05-May-2021 15:25:00,17.76,19.549
372,05-May-2021 15:26:00,17.76,19.549
373,05-May-2021 15:27:00,17.77,19.549
374,05-May-2021 15:28:00,17.77,19.539
375,05-May-2021 15:29:00,17.76,19.549
376,05-May-2021 15:30:00,17.74,19.549
377,05-May-2021 15:31:00,17.73,19.549
378,05-May-2021 15:32:00,17.74,19.549
379,05-May-2021 15:33:00,17.75,19.549
380,05-May-2021 15:34:00,17.76,19.539
381,05-May-2021 15:35:00,17.77,19.549
382,05-May-2021 15:36:00,17.78,19.549
383,05-May-2021 15:37:00,17.78,19.549
384,05-May-2021 15:38:00,17.78,19.539
385,05-May-2021 15:39:00,17.78,19.549
386,05-May-2021 15:40:00,17.77,19.539
387,05-May-2021 15:41:00,17.78,19.539
388,05-May-2021 15:42:00,17.77,19.549
389,05-May-2021 15:43:00,17.77,19.549
390,05-May-2021 15:44:00,17.76,19.549
391,05-May-2021 15:45:00,17.76,19.549
392,05-May-2021 15:46:00,17.75,19.539
393,05-May-2021 15:47:00,17.75,19.549
394,05-May-2021 15:48:00,17.74,19.549
395,05-May-2021 15:49:00,17.73,19.549
396,05-May-2021 15:50:00,17.73,19.549
397,05-May-2021 15:51:00,17.72,19.549
398,05-May-2021 15:52:00,17.71,19.549
399,05-May-2021 15:53:00,17.72,19.549
400,05-May-2021 15:54:00,17.74,19.539
401,05-May-2021 15:55:00,17.76,19.539
402,05-May-2021 15:56:00,17.78,19.539
403,05-May-2021 15:57:00,17.79,19.549
404,05-May-2021 15:58:00,17.80,19.539
405,05-May-2021 15:59:00,17.81,19.539
406,05-May-2021 16:00:00,17.81,19.539
407,05-May-2021 16:01:00,17.81,19.539
408,05-May-2021 16:02:00,17.80,19.539
409,05-May-2021 16:03:00,17.79,19.549
410,05-May-2021 16:04:00,17.79,19.539
411,05-May-2021 16:05:00,17.79,19.539
412,05-May-2021 16:06:00,17.79,19.549
413,05-May-2021 16:07:00,17.78,19.549
414,05-May-2021 16:08:00,17.78,19.539
415,05-May-2021 16:09:00,17.77,19.539
416,05-May-2021 16:10:00,17.75,19.539
